id,label,type,description,evidence_source,en_identifier
svc_vowifi,VoWiFi,Service,通过不可信 Wi-Fi 接入的运营商语音与 IMS 相关业务,3GPP TS 24.302/24.502 等（概括）,VoWiFi
svc_ims,IMS,Service,IP 多媒体子系统，会话与注册的核心域,3GPP TS 23.228,IMS
svc_rcs,RCS,Service,富通信套件，通常依赖 IMS 与 SIP 能力,GSMA RCS 资料（概括）,RCS
svc_open_gateway,Open Gateway,Service,运营商网络能力开放框架，对接北向 API,GSMA Open Gateway 公开说明,Open Gateway
nf_epdg,ePDG,NetworkFunction,非可信 WLAN 接入的 PGW 侧隧道终结点,3GPP TS 23.402,ePDG
nf_n3iwf,N3IWF,NetworkFunction,5G 非 3GPP 接入与 5GC 互通,3GPP TS 23.501/23.502,N3IWF
nf_pcscf,P-CSCF,NetworkFunction,IMS 边界会话控制，面向 UE 的 SIP 入口,3GPP TS 23.228,P-CSCF
nf_icscf,I-CSCF,NetworkFunction,IMS 查询 CSCF，负责 S-CSCF 选择与路由,3GPP TS 23.228,I-CSCF
nf_scscf,S-CSCF,NetworkFunction,IMS 服务 CSCF，业务触发与注册维护,3GPP TS 23.228,S-CSCF
nf_hss,HSS,NetworkFunction,用户签约与鉴权数据存储（IMS/EPC 语境）,3GPP TS 23.002,HSS
proto_sip,SIP,Protocol,会话初始协议，IMS 呼叫与会话控制的基础,3GPP TS 24.229,SIP
proto_dns,DNS,Protocol,域名解析，常用于发现网元与接入点 FQDN,RFC 1035 / 3GPP 命名章节,DNS
proto_ikev2,IKEv2,Protocol,密钥协商，常用于 ePDG/N3IWF 接入隧道,RFC 7296,IKEv2
proto_ipsec,IPsec,Protocol,IP 层安全，常与 IKEv2 组合用于接入,RFC 4301,IPsec
proto_https,HTTPS,Protocol,TLS 保护的 HTTP，用于开放 API 访问,IETF RFC 9110 系列,HTTPS
proto_rest,REST,Protocol,表述性状态转移风格的 API 形态,行业实践,REST
proto_diameter,DIAMETER,Protocol,策略与计费等领域常见 AAA 协议,3GPP TS 29.272 等,DIAMETER
iface_nb_api,Northbound Network API,Interface,面向第三方的北向网络能力接口,CAMARA / Open Gateway 材料,Northbound API
iface_gm,Gm,Interface,UE 与 P-CSCF 间参考点（SIP/SDP）,3GPP TS 23.228,Gm
iface_mw,Mw,Interface,CSCF 间 SIP 路由参考点,3GPP TS 23.228,Mw
iface_rx,Rx,Interface,应用功能与策略控制互通参考点,3GPP TS 23.203,Rx
plat_camara,CAMARA,Platform,电信能力开放 API 的定义与治理项目,CAMARA 官方组织,CAMARA
plat_camara_common,CAMARA Commonalities,Platform,CAMARA 共性规范与基线,CAMARA GitHub Commonalities,CAMARA Commonalities
cap_icm,Identity & Consent Management,Capability,开放 API 场景下的身份与同意管理,CAMARA ICM 仓库,ICM
cap_oauth2,OAuth2/OIDC,Capability,开放 API 常见授权与身份联合模式,RFC 6749 / OIDC,OAuth2
fqdn_ims,ims.mnc<MNC>.mcc<MCC>.pub.3gppnetwork.org,FQDNPattern,IMS 相关公共 FQDN 命名模板,3GPP TS 23.003,ims FQDN pattern
fqdn_wlan,wlan.mnc<MNC>.mcc<MCC>.3gppnetwork.org,FQDNPattern,WLAN 相关命名模板,3GPP TS 23.003,wlan FQDN pattern
